Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
"Overhaul of road P-257 Yenisey Krasnoyarsk-Abakan - Kyzyl border with Mongolia, in the Krasnoyarsk Territory (22KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-257 Yenisey Krasnoyarsk-Abakan - Kyzyl border with Mongolia section km 642 + 000 - km 664 + 000, in the Krasnoyarsk Territory. Sponsor of the project is Federal Public Institutions Federal Highway Administration Yenisei Federal Road Agency and covers the whole cost of the project which is equal to $ 10.83 million. Date of award is May 22, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Vostok"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,22/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,22,KM,100,0,10.83,0,Not Applicable,Not Applicable,10.83,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Yenisei Federal Road Agency,10.83,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Hassan electrification project (DDUGJY),SPI,Energy,Electricity Transmission,Not applicable,"The project entails the construction, financing and operation of new 33 kV substation, augmentation of 33 kV substation, 11 kV & 33 kV lines and LT lines in Hassan district under Deen Dayal Upadhaya Gram Jyoti Yojana . The project is located in Karnataka. The total capacity of the facility is 33 KV. The sponsor is Chamundeshwari Electricity Supply Corporation Limited covers the whole cost of the project, equal to $10.82 million USD. Contract was awarded on March 02, 2017 and works are expected to be completed by March 01, 2019.",South Asia,Lower middle income,1,India,,02/03/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33,KV (Kilo Volt),100,0,10.82,Not Applicable,0,Not Applicable,10.82,Not Applicable,SOE,Chamundeshwari Electricity Supply Corporation Limited,10.82,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Sikar electrification project (DDUGJY),SPI,Energy,Electricity Transmission,Not applicable,"The project entails the construction, financing and operation of a new 33 kV lines, new 33/11 kV power substation, laying of new 11 kV lines DTR substations and LT lines in Sikar district under Deen Dayal Upadhyay Gram Jyoti Yojana.The project located Rajasthan. The total capacity of the facility is 33 KV. The sponsor is Ajmer Electricity Distribution Corporation Limited and covers the whole cost of the project, equal to $10.78 million. Contract was awarded on January 06, 2017 and works are expected to be completed by January 05, 2019.",South Asia,Lower middle income,1,India,,06/01/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33,KV (Kilo Volt),100,0,10.78,Not Applicable,0,Not Applicable,10.78,Not Applicable,SOE,Ajmer Electricity Distribution Corporation Limited,10.78,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Transmission Lines System 2020 Substations, Lines and Distribution Networks (Phase 1)",SPI,Energy,Electricity Transmission,Not applicable,"The project scope includes the design, construction, equipment and installation for the rehabilitation of: 1) 25.3 km-c (circuit kilometers) of high voltage line at 115 kV. The project is located in the state of Veracruz. The total capacity of the facility is 25.3 KM. It is being implemented by Ingeniería y Servicios ADM, S.A. de C.V. y Constructora Electromecánica Tasal, S.A. de C.V. The sponsor is Comisión Federal de Electricidad and covers the whole cost of the project, equal to $10.75 million. Contract was awarded on May 19, 2017.",Latin America and the Caribbean,Upper middle income,1,Mexico,,19/05/2017,Financial close,Greenfield,National,Not Applicable,25.3,KM,100,0,10.75,Not Applicable,0,Not Applicable,10.75,Not Applicable,SOE,Comisión Federal de Electricidad,10.75,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,1.05E+12,127540423,1.18E+12,1.15E+12
Upgradation of Nawgong-Shrinagar road in length of 33.5 km,SPI,Transport,Roads,Not Applicable,"The project entails upgradation of Nawgong-Shrinagar Road (MP-MDR-35-04) in Chhatarpur district. The length of the project is 33.5 KM. Works are located in Madhya Pradesh, India. The sponsor is Madhya Pradesh Road Development Corporation Limited (MPRDC) and covers the whole investment amount, equal to $ 10.75 million. The contractor is IL&FS Transportation Networks-IL&FS Engineering & Construction (JV). Contract was awarded on March 21, 2017.",South Asia,Lower middle income,1,India,,21/03/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33.5,KM,100,0,10.75,0,Not Applicable,Not Applicable,10.75,Not Applicable,SOE,Madhya Pradesh Road Development Corporation Limited (MPRDC),10.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Overhaul of the road M-2 Crimea Moscow - Tula - Oryol - Kursk - Belgorod - Ukrainian border, Belgorod region (Stage 2) (8.5KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of the road M-2 Crimea Moscow - Tula - Oryol - Kursk - Belgorod - Ukrainian border km 620 + 000 - km 637 + 500, Belgorod region (Stage 2 km 629 + 000 - km 637 + 500). Sponsor of the project is Federal Public Institutions Management Motorway Moscow-Kharkov Federal Road Agency and covers the whole cost of the project which is equal to $ 10.73 million. Date of award is June 02, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju «Strojmagistral'».",Europe and Central Asia,Upper middle income,1,Russian Federation,,02/06/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,8.5,KM,100,0,10.73,0,Not Applicable,Not Applicable,10.73,Not Applicable,Public,Federal Public Institutions Management Motorway Moscow-Kharkov Federal Road Agency,10.73,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Nagaur water supply & sewerage scheme,SPI,Water,Treatment Plant,Not applicable,"The project entails the construction, financing and operation of sewerage and water supply scheme in Nagaur, located in the state of Rajasthan in India. The capacity of the facility is 3.5 MLD. Rajasthan Urban Drinking Water Sewerage and Infrastructure Corporation Limited is the implementing agency. The total project cost is $18 million. The date of award took place on February 20, 2017.",South Asia,Lower middle income,1,India,,20/02/2017,Date of award,Greenfield,State/Provincial,Not Applicable,3.5,MLD (million litres per day),100,0,10.7,Not Applicable,0,Not Applicable,10.7,Not Applicable,SOE,Rajasthan Urban Drinking Water Sewerage and Infrastructure Corporation Limited,10.7,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Wenxi County Solid Waste Incineration Power Plant,PPI,Energy,Electricity generation,Waste,"On June 13, 2017, construction of the a solid waste incineration power plant commenced in Wenxi County, Shanxi Province. The sponsor of this Build Operate Transfer project was a local private company Wenxi County Guanghong Solid Waste Treatment Company Limited. The total investment was US$ 48.84 million (RMB 330 million) and Guanghong had a 100% stake in the project. The power plant had a power generation capacity of 12MW. It could process 500 tons of solid waste per day. The concession term was 25 years. Other particulars of the project were not reported.",East Asia and Pacific,Upper middle income,,China,,,,Greenfield,Local/Municipal,,12,MW,0,100,48.84,0,,,Not Available,,Not Applicable,"Zhejiang Feida Environmental Science and Technology Co., Ltd. (Not Available / 70% / ..), 

Guizhou Sunshine environmental Engineering Company Limited (Not Available / 30% / ..)",Not Available,,0,,0,0,0,0,0,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Construction of two lane road over bridge in length of 1 km on NH-74 at Doiwala,SPI,Transport,Roads,Not Applicable,"The project entails construction of two lane road over bridge and its approaches in lieu of existing level crossing (L.C.No. 39-B) at Km. 158.5 on NH-74 at Doiwala in Dehradun district. The length of the project is 1 KM. Works are located in Uttarakhand, India. The sponsor is Public Works Department, Uttarakhand and covers the whole investment amount, equal to $ 10.66 million. The contractor is Doon Infrastructure. Contract was awarded on March 28,  2017.",South Asia,Lower middle income,1,India,,28/03/2017,Date of award,Greenfield,State/Provincial,Not Applicable,1,KM,100,0,10.66,0,Not Applicable,Not Applicable,10.66,Not Applicable,Public,"Public Works Department, Uttarakhand",10.66,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Construction work for gas pipelines in Adjara (Batumi-Keda section),SPI,Energy,Natural Gas Transmission,Not applicable,"The project scope includes construction works for Batumi-Keda gas pipelines in Adjara A.R., Georgia. Financing amounts to $10.64 million. Sponsor is Ministry of Economy and Finance of Adjara Autonomous Republic. Enerji investi 2009 will construct the facility. Contract was awarded on August 30, 2017 and works are expected to be completed by June 1, 2020.",Europe and Central Asia,Lower middle income,1,Georgia,,30/08/2017,Date of award,Greenfield,National,Not Applicable,N/A,N/A,100,0,10.64,N/A,0,Not Applicable,10.64,Not Applicable,Public,Ministry of Economy and Finance of Adjara Autonomous Republic,10.64,N/A,Not Applicable,Not Applicable,0,,,,,0,0,14378016729,3719300,14434619982,15159281211
"Overhaul of road P-217 Kavkaz highway M-4 Don - Vladikavkaz - Grozny - Makhachkala - border with the Republic of Azerbaijan, the Krasnodar Territory (16KM)",SPI,Transport,Roads,Not Applicable,"The project entails the works on the project: Overhaul of road P-217 Kavkaz highway M-4 Don - Vladikavkaz - Grozny - Makhachkala - border with the Republic of Azerbaijan km 18 + 000 - km 34 + 000, the Krasnodar Territory.. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Chernomorov Federal Road Agency and covers the whole cost of the project which is equal to $ 10.64 million. Date of award is November 20, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Dorsnab.",Europe and Central Asia,Upper middle income,1,Russian Federation,,20/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,16,KM,100,0,10.64,0,Not Applicable,Not Applicable,10.64,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Chernomorov Federal Road Agency,10.64,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Upgradation of Ahmedpur-Kirnahar-Ramjibanpur carriageway in length of 29.1 km in Birbhum,SPI,Transport,Roads,Not Applicable,"The project entails upgradation of existing 5.50 mtrs. carriageway to standard two lane carriageway of Ahmedpur-Kirnahar-Ramjibanpur road from 0.00 km to 29.1 km in Birbhum district. The length of the project is 29.1 KM. Works are located in West Bengal, India. The sponsor is Public Works Department, West Bengal and covers the whole investment amount, equal to $ 10.63 million. The contractor is S. Roy Engineering Company. Contract was awarded on March 9, 2017.",South Asia,Lower middle income,1,India,,09/03/2017,Date of award,Greenfield,State/Provincial,Not Applicable,29.1,KM,100,0,10.63,0,Not Applicable,Not Applicable,10.63,Not Applicable,Public,"Public Works Department, West Bengal",10.63,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Jalore electrification project  (DDUGJY),SPI,Energy,Electricity Transmission,Not applicable,"The project entails the construction, financing and operation of new 33 KV lines, new 33/11 KV power substation, laying of new 11 KV lines DTR substations and LT lines in Jalore district under Deen Dayal Upadhyay Gram Jyoti Yojana. The project is located in Rajasthan. The total capacity of the facility is 33KV. The sponsor is Jodhpur Vidyut Vitran Nigam Limited and covers the whole cost of the project, equal to $10.62 million. Contract was awarded on February 22, 2017 and works are expected to be completed by February 21, 2019.",South Asia,Lower middle income,1,India,,22/02/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33,KV (Kilo Volt),100,0,10.62,Not Applicable,0,Not Applicable,10.62,Not Applicable,SOE,Jodhpur Vidyut Vitran Nigam Limited,10.62,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Upgradation of Singhnivaas-Khurai road in length of 36.8 km,SPI,Transport,Roads,Not Applicable,"The project entails upgradation of Singhnivaas-Khurai Road (MP-MDR-07-17) in Shivpuri district. The length of the project is 36.8 KM. Works are located in Madhya Pradesh, India. The sponsor is Madhya Pradesh Road Development Corporation Limited (MPRDC) and covers the whole investment amount, equal to $ 10.61 million. The contractor is Gannon Dunkerley & Company Limited. Contract was awarded on April 19, 2017.",South Asia,Lower middle income,1,India,,19/04/2017,Date of award,Greenfield,State/Provincial,Not Applicable,36.8,KM,100,0,10.61,0,Not Applicable,Not Applicable,10.61,Not Applicable,SOE,Madhya Pradesh Road Development Corporation Limited (MPRDC),10.61,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Kurnool water supply scheme,SPI,Water,Water Utility,Not applicable,"The project entails the construction, financing and operation of water supply scheme at Tirupathi in Kurnool district under AMRUT Scheme Phase-I. It includes laying of HDPE pipelines of Pipe 110 mm dia Supply - 149 km, 160 mm dia Supply for 52.8 km and 200 mm dia Supply of 9.3 km. The project is located in Andhra Pradesh, India. The total capacity of the facility is 211.1 KM. It is being constructed by Indian Hume Pipe Company Limited, Mumbai. The sponsor is Public Health & Municipal Engineering Department, Andhra Pradesh and covers the whole cost of the project, equal to $10.6 million. Contract was awarded on December 7, 2017 and works are expected to be completed by September 30, 2018",South Asia,Lower middle income,1,India,,07/12/2017,Date of award,Greenfield,Local/Municipal,Not Applicable,211.1,KM,100,0,10.6,Not Applicable,0,Not Applicable,10.6,Not Applicable,Public,Public Health & Municipal Engineering Department (Andhra Pradesh),10.6,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Rehabilitation of the public highway N-02 Lviv-Ternopil (55.743 KM),SPI,Transport,Roads,Not Applicable,"The project scope includes the rehabilitation of the public highway N-02 Lviv-Ternopil on the districts km 11 + 257 - km 17 + 550, km 17 + 550 - km 30 + 400, km 30 + 400 - km 33 + 858, km 33 + 858 - km 67 + 000 Lviv region. Works are located in Ukraine. The total capacity of the project is 55.743 KM. Sponsor is Road service in the Lviv region. Financing comprises $10.55 million provided by the sponsor. Motorway-South Ltd. will construct the project. Contract was awarded on June 6, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,06/06/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,55.743,KM,100,0,10.55,0,Not Applicable,Not Applicable,10.55,Not Applicable,Public,Road service in the Lviv region,10.55,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
Construction of roads in Irkutsk,SPI,Transport,Roads,Not Applicable,"The project entails the construction of roads in Irkutsk. Sponsor of the project is Regional State Public Institutions Directorate For Construction And Operation Of Highways Irkutsk Region and covers the whole cost of the project which is equal to $ 10.53 million. Date of award is June 06, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Profil'Naja Kompanija ""Sibir'"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,06/06/2017,Date of Award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.53,0,Not Applicable,Not Applicable,10.53,Not Applicable,Public,Regional State Public Institutions Directorate For Construction And Operation Of Highways Irkutsk Region,10.53,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Reconstruction of culverts through artificial Kukkure River at km 983 + 000 of the road Viluy - road,SPI,Transport,Roads,Not Applicable,"The project entails the construction and reconstruction of sections ""Viluy"" road - a highway being built from the highway M-53 ""Baikal"" through Bratsk, Ust-Kut, Mirny up to Yakutsk. Reconstruction of culverts through artificial Kukkure River at km 983 + 000 of the road Viluy - road, being built on the road M-53 ""Baikal"" through Bratsk, Ust-Kut, Mirny up to Yakutsk, Republic of Sakha (Yakutia). Sponsor of the project is Federal Public Institutions Highway Administration Federal Public Vilyue Federal Road Agency and covers the whole cost of the project which is equal to $ 10.5 million. Date of award is September 18, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Strojmost"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,18/09/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.5,0,Not Applicable,Not Applicable,10.5,Not Applicable,Public,Federal Public Institutions Highway Administration Federal Public Vilyue Federal Road Agency,10.5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Repair of roads of local importance in Tyumen,SPI,Transport,Roads,Not Applicable,"The project entails the repair of roads of local importance in Tyumen. Sponsor of the project is Municipal Public Institutions Customer Service Tyumen District and covers the whole cost of the project which is equal to $ 10.5 million. Date of award is June 26, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Tjumenskoe Oblastnoe Dorozhno-Jekspluatacionnoe Predprijatie"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,26/06/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.5,0,Not Applicable,Not Applicable,10.5,Not Applicable,Public,Municipal Public Institutions Customer Service Tyumen District,10.5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Warrangal electrification project (DDUGJY),SPI,Energy,Electricity Transmission,Not applicable,"The project entails the construction, financing and operation of a new 33/11 kV substations, construction of 33 kV lines, 11 kV & LT lines, installation of distribution transformers in Warrangal district under Deen Dayal Upadhyaya Gram Jyoti Yojana. The project is located in Telangana. The total capacity of the facility is 33 KV. The sponsor is Northern Power Distribution Company of Telangana Limited and covers the whole cost of the project, equal to $10.48 million. Contract was awarded on May 30, 2017 and works are expected to be completed by May 29, 2019 .",South Asia,Lower middle income,1,India,,30/05/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33,KV (Kilo Volt),100,0,10.48,Not Applicable,0,Not Applicable,10.48,Not Applicable,SOE,Northern Power Distribution Company of Telangana Limited,10.48,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Construction and reconstruction of sections of the road M-25 Novorossiysk - Kerch (Simferopol), the entrances to seaports Caucasus and Taman",SPI,Transport,Roads,Not Applicable,"The project entails the construction and reconstruction of sections of the road M-25 Novorossiysk - Kerch (Simferopol), the entrances to seaports Caucasus and Taman. Building inspection and the inspection of the radiometric complex is being built 39 km from the entrance of the road M-25 Novorossiysk - Kerch Strait to the Kerch and dry cargo area seaport of Taman, Krasnodar region. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Chernomorov Federal Road Agency and covers the whole cost of the project which is equal to $ 10.47 million. Date of award is September 07, 2017. The company chosen for the construction is Kerchenskij Filial Federal''Noe Gosudarstvennoe Unitarnoe Predprijatie ""Upravlenie Vedomstvennoj Ohrany Ministerstva Transporta Rossijskoj Federacii"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,07/09/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.47,0,Not Applicable,Not Applicable,10.47,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Chernomorov Federal Road Agency,10.47,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Repair artificial structures on road M-8 Holmogory Moscow - Yaroslavl - St. Petersburg - Arkhangelsk, Yaroslavl region (16.7KM)",SPI,Transport,Roads,Not Applicable,"The project entails the repair artificial structures between km 235 + 100 - 251 + 800 km road M-8 Holmogory Moscow - Yaroslavl - St. Petersburg - Arkhangelsk Yaroslavl region. Sponsor of the project is Federal Public Institutions Management Motorway Moscow-Arkhangelsk Federal Road Agency and covers the whole cost of the project which is equal to $ 10.46 million. Date of award is December 12, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Strojmost"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,12/12/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,16.7,KM,100,0,10.46,0,Not Applicable,Not Applicable,10.46,Not Applicable,Public,Federal Public Institutions Management Motorway Moscow-Arkhangelsk Federal Road Agency,10.46,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Rehabilitation of public highway T-14-18 Nizhankovichi - Sambir - Drogobych - Stry (28.801 KM),SPI,Transport,Roads,Not Applicable,"The project scope includes the rehabilitation of public highway T-14-18 Nizhankovichi - Sambir - Drogobych - Stry km 49 + 790 - km 78 + 591 Lviv region. Works are located in Ukraine. The total capacity of the project is 28.801 KM. Sponsor is Road service in the Lviv region. Financing comprises $10.44 million provided by the sponsor. Onur Construction International Ltd. will construct the project. Contract was awarded on October 12, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,12/10/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,28.801,KM,100,0,10.44,0,Not Applicable,Not Applicable,10.44,Not Applicable,Public,Road service in the Lviv region,10.44,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
"Repair of roads of general use of the Samara region, located in the city district boundaries Samara, Krasnoglinskaya highway (from the bridge over the river Volga Juice to the highway) - I stage (5.64KM)",SPI,Transport,Roads,Not Applicable,"The project entails the repair of roads of general use of the Samara region, located in the city district boundaries Samara, Krasnoglinskaya highway (from the bridge over the river Volga Juice to the highway.) - I stage (km 0 + 000 - km 5 + 635). Sponsor of the project is Ministry Of Transport And Highways In Samara Region and covers the whole cost of the project which is equal to $ 10.41 million. Date of award is July 04, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Samaratransstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,04/07/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,5.64,KM,100,0,10.41,0,Not Applicable,Not Applicable,10.41,Not Applicable,Public,Ministry Of Transport And Highways In Samara Region,10.41,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Rehabilitation of 46km Bo - Bandajuma road (Second phase of Sierra Leone leg of the Trans-Africa road Sierra Leone project),SPI,Transport,Roads,Not Applicable,"The project entails the rehabilitation of a 46km Bo - Bandajuma road. The Bo - Bandajuma project in southern Sierra Leone forms part of the Trans - West African Coastal Highway. Sponsor is Sierra Leone Roads Authority (SLRA). Financing comprises loans of $17 million provided by AFDB and OPEC. China Henan International Cooperation Group (Chico) will construct the project. The Bo-Bandajuma highway has a rehabilitation component and reconstruction component. 44km will be rehabilitated and 2km will be constructed. Contract was awarded on June 12, 2017.",Sub-Saharan Africa,Low income,1,Sierra Leone,,12/06/2017,Date of award,Brownfield,National,Not Applicable,46,KM,100,0,17,N/A,Not Applicable,Not Applicable,N/A,Not Applicable,Public,Sierra Leone Roads Authority (SLRA),N/A,"AFDB, OPEC",N/A,Not Applicable,Not Applicable,,,,,0,0,3736588554,7396190,2942546781,3774270392
"Construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXII)",SPI,Transport,Roads,Not Applicable,"The project entails the construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXII). Sponsor of the project is State Public Institutions Moscow Management Overhaul Overhaul Department Of Moscow and covers the whole cost of the project which is equal to $ 10.4 million. Date of award is May 16, 2017. The company chosen for the construction is Ooo ""I-Grupp"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,16/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.4,0,Not Applicable,Not Applicable,10.4,Not Applicable,Public,State Public Institutions Moscow Management Overhaul Overhaul Department Of Moscow,10.4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Barwani electrification project (DDUGJY scheme) ,SPI,Energy,Electricity Transmission,Not applicable,"The project entails the construction, financing and operation of a new 33/11 KV substation and associated lines, augmentation of power transformers, additional power transformer, new 33 KV, 11 KV & LT lines on AB cable in Barwani district under Deen Dayal Upadhyaya Gram Jyoti Yojana scheme. The project is located in Madhya Pradesh. The total capacity of the facility is 33 KV. It is being constructed by Nilshikhaa Infraa India Limited. The sponsor is Madhya Pradesh Paschim Kshetra Vidyut Vitaran Company Limited and covers the whole cost of the project which equals to $10.38 million. Contract was awarded on January 23, 2017 and works are expected to be completed by January 13, 2019.",South Asia,Lower middle income,1,India,,23/01/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33,KV (Kilo Volt),100,0,10.38,Not Applicable,0,Not Applicable,10.38,Not Applicable,SOE,Madhya Pradesh Paschim Kshetra Vidyut Vitaran Company Limited,10.38,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXIII)",SPI,Transport,Roads,Not Applicable,"The project entails the construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXIII). Sponsor of the project is State Public Institutions Moscow Management Overhaul Overhaul Department Of Moscow and covers the whole cost of the project which is equal to $ 10.37 million. Date of award is December 13, 2017. The company chosen for the construction is Ooo ""Strojstandart"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,13/12/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.37,0,Not Applicable,Not Applicable,10.37,Not Applicable,Public,State Public Institutions Moscow Management Overhaul Overhaul Department Of Moscow,10.37,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Rehabilitation works and asphalting the road Lompoul-Leona-Potou-Gandiol in connection with the Niayes road in two lots: lot 1,SPI,Transport,Roads,Not Applicable,"The project scope includes the Rehabilitation works and asphalting the road Lompoul-Leona-Potou-Gandiol in connection with the Niayes road in two lots: lot 1. Works are located in Senegal. Sponsor is  Road Works and Management Agency of Senegal (AGEROUTE). Financing comprises $ 16.81 million provided by the sponsor. Power China Construction Corporation of China will construct the project. Contract was awarded on February 22, 2017.",Sub-Saharan Africa,Low income,1,Senegal,,22/02/2017,Date of award,Brownfield,National,Not Applicable,N/A,N/A,100,0,16.81,Not Applicable,Not Applicable,Not Applicable,16.81,Not Applicable,Public,Road Works and Management Agency of Senegal (AGEROUTE),16.81,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,14683697631,15411614,14390776644,16374743753
"Repair of road P-217 Kavkaz highway M-4 , entrance to the city of Stavropol(13KM)",SPI,Transport,Roads,Not Applicable,"The project entails the repair of road P-217 Kavkaz highway M-4 Don - Vladikavkaz - Grozny - Makhachkala - border with the Republic of Azerbaijan entrance to the city of Stavropol between km 0 + 000 - 13 + 000 km, Stavropol Territory. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Caucasus Federal Road Agency and covers the whole cost of the project which is equal to $ 10.32 million. Date of award is December 15, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Glavdorstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,15/12/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,13,KM,100,0,10.32,0,Not Applicable,Not Applicable,10.32,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Caucasus Federal Road Agency,10.32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
