"","Project.Name","Project.Description","Sub.sector","Technology","Country","Capacity","Capacity.Unit","Region"
"132","Nam Ngum 1 Dam Expansion Project","The project scope includes the addition of two additional turbines No 7 and 8 with a total capacity of 80 megawatts to increase the dam’s output from 155 MW to 235 MW. Sponsor of the project is Electricite du Laos while the finance of the project which is equal to $ 122 million is secured by a loan provided by the Chinese government. Financial close took place on May 8, 2017.","Electricity Generation","Hydro","Lao PDR","80","MW","East Asia and Pacific"
"133","Nam Theun I","The project entails the design, construction, development, financing and operation of Nam Theun I Hydro power plant located in Nam Kading River,  Bolikhamxay Province. The total capacity of the power facility is 650 MW. Nam Theun 1 Power Company Limited is the special purpose vehicle created by the sponsors for the execution for the project.  This will be the first cross-border project where a non-governmental Lao company is involved as a sponsor (Phonesack Group).

EGCO Group hold 25% stake while Phonesack Group Co.,Ltd. and EDL-Generation Public Company (EDL-Gen) retain 60% and 15% respectively.

Electricity will be sold to Electricite du Laos and exported to the Electricity Generating Authority of Thailand (EGAT) in Thailand. On September 23, 2017, NT1PC entered into PPAs with EGAT and EDL to supply 514.3 MW power to EGAT and additional 130 MW to EDL for 27 years starting from the commercial operation date in 2022.

Total investment cost is estimated at $ 1.3 billion. Total debt amounts to $934.5 million (or THB 30,800 million) provided by commercial banks. Four banks provided the debt funding - Bangkok Bank ($374 million), Export-Import Bank of Thailand ($93.3 million), The Siam Commercial Bank ($374 million) and TISCO Bank Public ($93.2 million). Equity contribution by the sponsors amounts to $365.5 million on a pro rata basis among the sponsors. Hence, debt to equity of 72:28.
Financial closure was achieved in December 2017.","Electricity generation","Hydro","Lao PDR","650","MW","East Asia and Pacific"
"134","Noor PV I Solar Trio","The project envisages the development of three solar plants in the regions of Draa-Tafilalet and Laayoune-Sakia El Hamra. The plants are Boujdour (19MW), Ouarzazate (72MW) and Laayoune (86MW).

Saudi developer ACWA Power was selected preferred bidder after a competitive bidding process based on lowest tariff per Kwh. Equity investors in the projects, besides ACWA Power with 70 per cent, are Moroccan Agency for Solar Energy (25 per cent) and Chint Group (5 per cent).

This is a greenfield project launched under BOOT modality with a 20-year concession period. The output of the solar plants will be sold to Moroccan Agency for Solar Energy under a 20-year power purchase agreement.

Total investment is estimated at $220 million being financed via 82:18 debt to equity. Debt comprises $65 million project financing arranged by KfW. The project also relies on green bond financing issued in November 2016 and having a total amount of approximately $116 million. The Moroccan Agency for Solar Energy (Masen) has issued Morocco's first green bond to help to finance the country's development of solar power","Electricity generation","Solar","Morocco","177","MW","Middle East and North Africa"
"135","Norte III CCGT Power Plant","The project entails the development and operation of a 907-MW Norte III CCGT Power Plant located in Juarez, Chihuahua state. Abeinsa Juarez NIII, S.A. de C.V. is the project company leading the project.  Initially, Abengoa was awarded the contract to develop the plant but later on the project was divested. Abengoa has entered into an agreement with a consortium to sell its interest in the project. The agreement with Macquarie and Techint Engineering & Construction is part of Abengoa’s ongoing divestment plan. Abengoa will continue to execute EPC projects including construction of the water treatment facility at the power plant. The new owners will lead remaining construction works.

Electricity generated at the Norte III plant will be fed to the existing CFE grid. It will be purchased by CFE under a 25-year power capacity commitment and purchase agreement (PPA).

Total investment is estimated at $868.4 million and is being funded through debt and equity in 82:18 ratio. The Project has received broad-based financing support from SMBC ($95 mn) and Natixis ($90.3 mn); Bancomext ($82 mn), Crédit Agricole ($75.6 mn), GE ($82 mn), EDC ($82 mn), Norinchukin Bank ($70 mn), KDB ($46.5 mn), KfW ($46.5 mn), and Intesa Sanpaolo ($46.5 mn). The sponsors will contribute $152 million in equity. Financial close occurred on 7th September 2017.","Electricity generation","Natural Gas","Mexico","907","MW","Latin America and the Caribbean"
"136","Nuevo Leon combined cycle plant","The project entails the design, construction, financing and operation of a combined cycle power plant situated in the municipality of El Carmen, Nuevo León. It will have an installed capacity of 866 MW and is being undertaken by Iberdrola Mexico, part of Iberdrola SA.
The plant will sell energy solely to the Wholesale Electricity Market.  Iberdrola has also signed a Power Purchase Agreement (PPA) with CFE Calificados to supply CFE’s commercial branch with 150 MW of power. A total of 264 MW of the plant’s 866 MW capacity has already been sold to industrial clients.

The productive state-owned enterprise (CFE) will supply natural gas for the plant’s operation through CFEnergía, and will be responsible for building the electrical infrastructure necessary for the power supply. 
This is a new, greenfield project launched on a merchant basis in the wake of the Mexican energy reform.

The total investment is reported at $450 million. As of January 2018, there are no details on the financial package of the project. However, construction kicked off in March - April 2017 and this this date was considered for closing.","Electricity generation","Natural Gas","Mexico","866","MW","Latin America and the Caribbean"
"137","Nurek Hydropower Rehabilitation Project, Phase I","The project entails the financing and implementation of a Nurek Hydropower Rehabilitation Project, Phase I, in Tajikistan located in southeast Central Asia.The initiative will be implemented in two phases: the first one comprises the following componens: 1) Rehabilitation of the three generating units, the key infrastructural components of the plant and replacement of auto-transformers ($310 million); 2) Enhancement of Dam Safety ($30 million). Technical Assistance ($10 million). The components of the second phase (Phase II) consist of the rehabilitation of the remaining six generation units and the remaining components of the BoP. The total project cost is estimated at $700 million. Phase I will be implemented in 6 years and the estimated cost is $350 million. The sources of financing for the Project are the following: $60 million from the Bank; $225.7 million from IDA, which includes $100 million from the IDA ScaleUp Facility, $69.135 million IDA concessional credit, and $56.565 million equivalent IDA grant; and $40 million from the Eurasian Development Bank (EaDB).The Project objectives are to rehabilitate and restore the generating capacity of three power generating units of the Nurek HPP, improve their efficiency, and strengthen the safety of the Nurek dam. The beneficiaries of the initiative are all electricity consumers in the country as the project will contribute to the ongoing efforts of the Government in ensuring adequate and reliable electricity supply.Thus, the entire 8.5 million population of the country will benefit from the project. Financial close took place on June 15, 2017.","Electricity Generation","Hydro","Tajikistan","3000","MW","Europe and Central Asia"
"138","Nyadi Hydropower Plant","The project involves the construction of a run - of - the  river power plant at Nyadi River, Bahundada, Lamjung District. The total capacity of the plant will be 30-MW.

Nyadi Hydropower Limited, which is a joint venture between Butwal Power Company (BPC) and Lamjung Electricity Development Company (LEDCO), is developing the project. The former holds slightly more than 97 per cent, and the latter around 3 per cent ownership in the project company.

An estimated 172 million units of electricity generated from the project annually will be sold to Nepal Electricity Authority (NEA), according to the power purchase agreement signed between project developer and state owned power utility. As per the agreement, the purchase rate will rise by 3 per cent per annum for eight years. The PPA period is of 30 years.

A consortium led by Everest Bank and co-led by Nabil Bank and Global IME Bank will be financing the project. Himalayan Bank, Sunrise Bank and state- owned Hydroelectricity Investment and Development Company are also part of the consortium.  Sources reported that Rs 4.4 billion will be provided by the lenders, with the remaining Rs 1.6 billion being funded by sponsors. 

The project is being built at an estimated cost of Rs 6 billion, according to the developer and is expected to go online by April 2020. Financial closure is estimated as per the commencement of construction on 23rd March 2017, after having secured funding from banks.","Electricity generation","Hydro","Nepal","50","MW","South Asia"
"139","Old Harbour  Combined Cycle Power Station","The project entails the construction and development of 190 MW gas-fired IPP at Old Harbour Bay, St Catherine, Jamaica. The project involves shutting down an existing heavy fuel oil plant and construction of the new dual-fuel plant with liquefied natural gas as the primary source of generation.

South Jamaica Power Company is the project company which will undertake the project on behalf of the sponsors. Electricity generated at the plant will be sold to  Jamaican Public Service (JPS) under a 20-year PPA.

Sponsors include Jamaica Public Service Company (JPS), Marubeni and the Korea East-West Power (EWP) company. Direct ownership is split as follows: 50% held by JPS and 25% stakes by Marubeni and EWP. The total cost for the power plant development is  $330 million. The financing includes a loan provided by a syndicate of  banks - NCB Jamaica, Clarien Bank, First Caribbean International Bank, Jamaica National Building Society; JMMB Merchant Bank, and Sagicor Bank Jamaica. National Commercial Bank (NCB) led the arrangement of financing The total debt financing for the project is $215 million including a $125 million secured credit facility and a $90 million bond financing. The remaining costs are being funded by equity ($115 million).","Electricity generation","Natural Gas","Jamaica","190","MW","Latin America and the Caribbean"
"140","Olkaria Geothermal Power Extension","The project at stake represents an extension and operation of the existing Geothermal Power Plant Olkaria located in Olkaria, Nakuru county, Kenya. The total capacity is expected to rise by 70 MW . It is being implemented by Yantai Jereh Petroleum Equipment & Technologies Co, Ltd. The sponsor is Kenya Electricity Generating Company Limited (KENGEN). The financing is provided by Industrial and Commercial Bank of China and Standard Bank of South Africa (Kenya). Contract was awarded on August 1, 2017. Plant is expected to be completed by 2020.","Electricity Generation","Geothermal","Kenya","61","MW","Sub-Saharan Africa"
"141","Olkaria I Unit 6 ","The project entails the construction, financing and operation of the extension of the 140-MW Olkaria I geothermal plant with an additional capacity of 70-MW turbine in Kenya. It would support the drilling of wells, steam-gathering systems and inter-connection facilities at the power plant as the facility forms part of the country’s wider programme to develop at least 5,530 MW of geothermal capacity by 2030. The project is developed by Kenya Electricity Generating Company Limited (KenGen).The financing is provided by the European Investment Bank (EIB), amounting to US$135 million. The total cost of the power plant is estimated at $372 million. A consortium of Mitsubishi Corporation & Mitsubishi Hitachi Power Systems and H Young & Co. was awarded a full turnkey contract by Kenya Electricity Generating Company (KenGen) for the construction of the Olkaria V geothermal power plant. The project is aimed at bringing the average cost of electricity to below $0.10 – almost halving its current average cost of $0.1792 US per kWh – for domestic consumers. Financial close occured on September 8, 2017.","Electricity Generation","Geothermal","Kenya","70","MW","Sub-Saharan Africa"
"142","Olkaria V Geothermal Power Development Project","The project represents the construction, finance and operation of a new Geothermal Power Plant located in Olkaria, Nakuru county, Kenya. The total capacity is expected to be 140 MW . It is being undertaken by SGC. The sponsor is Kenya Electricity Generating Company Limited (KENGEN). Project funding in the amount of $410.6 million comes from JICA. Contract was awarded on April 28, 2017. Expected completion is by 2020.","Electricity Generation","Geothermal","Kenya","140","MW","Sub-Saharan Africa"
"143","Orejana and Santa Maria Solar Parks","The project envisages the construction, development and operation of two solar farms in Sonora and Chihuahua states, Mexico. Orejana solar park has a capacity of 158 MW and Santa María of 179 MW. Both farms are being developed by Zuma Energia JV, whose ultimate owners are Actis with 80% and  Mesoamerica Energy with 20%.

This is a greenfield project undertaken on a BOO modality. Zuma Energia was awarded  long-term PPAs in Mexico’s second power auction held in 2016, following a competitive bidding process based on the lowest tariff criteria. The plant will sell clean energy  to local utility CFE for a period of 20 years.

The required investment for Orejana solar park is $139 million, and for Santa María $155 million. The entire investment amount was provided by four banks  - Bancomext, Banobras, Nacional Financiera - NAFIN, and North American Development Bank in equal split. Financial closure occurred on November, 20th 2017. Start of commercial operations is scheduled for June 2019.","Electricity generation","Solar","Mexico","337","MW","Latin America and the Caribbean"
"144","Outer Island Renewable Energy Project - Additional Financing","The project scope involves a further financing for the reduction of power losses in the national grid. The project will construct and install solar power systems with a total capacity of 1.32 MWp on nine outer islands of Tonga, and the existing grid network on the islands of Vava'u and 'Eua rehabilitated by TPL. The amount of this additional package is $3.1 million of which the national government will contribute $0.6 million and ADB $2.5 million.  In addition, rehabilitated grid network portions on Vava'u and 'Eua are expanded.","Electricity Generation","Solar","Tonga","1.3","MW","East Asia and Pacific"
"145","Pacific Solar Energy","The project entails the financing, construction and operation of a nearly 50 MW solar plant  solar-powered electric generating facility located near the city of Nacaomé, Honduras. Pacific Solar Energy, S.A. de C.V. is the special purpose vehicle created for the execution for the project. It is sponsored by Upower Group.

The project is a greenfield undertaking and is to be built in two phases of 25 MW each. The plant is initiated on a BOO modality with PPA for 20 years.

Total project cost is $123.6 million and is funded through debt and equity in 75:25 ratio. Project financing was provided by FMO and DEG for both phases. DEG is providing $20.3 million for phase I, and $24 million for phase II. FMO is lending $48.4 million in total for both phases. Hence the total debt stands at $92.7 million. The remaining cost will be covered by equity contribution of $30.9 million.

Financing closed on December 14th, 2017.","Electricity generation","Solar","Honduras","50","MW","Latin America and the Caribbean"
"146","Papua New Guinea: Town Electrification Investment Program - Tranche 2","The project entails the rehabilitation of two hydropower plants in Papua New Guinea: (i) Yonki Toe of Dam (YTOD) hydropower plant, and (ii) Warangoi hydropower plant, which after rehabilitation will be capable of operating at their rated capacity of 28.0 MW-18 MW YTOD, and the 10 MW Warangoi plant. Moreover, the proposed rehabilitation will extend the economic life of these plants by another 20 to 25 years and ensure that they are brought to current standards. The second component consists of the construction of Ramazon run-of-river small hydropower plant with a preliminary capacity of 3 MW. The project includes construction of a (i) concrete weir, (ii) 5 km pipeline, (iii) penstock, (iv) powerhouse, and (v) new access road from the existing road to the powerhouse and internal roads within the project area. The total project cost is estimated at $76.6 million. The funding is being provided by ADB, contributing to the amount of $60.9 million. PNG Power Ltd (PPL) rehabilitates three aging hydropower plants to bring them back to their rated capacity of 28.0 MW. PPL constructs and connects to the grid 3.0 MW of hydropower capacity. The social impact is improved economic condition of the population in the targeted provincial cente. Sponsor is Energy Division of the Department of Petroleum and Energy. Financial close took place on July 19, 2017.","Electricity Generation","Hydro","Papua New Guinea","28.3","MW","East Asia and Pacific"
"147","Parbhani Solar Plant","Project envisages the construction, operation and maintenance of a solar PV plant with a capacity of 40 MW in Parbhani District, Maharashtra. MH Parbhani Power Pvt Ltd is a 100% owned special purpose vehicle (SPV) of Essel Green Energy Pvt Ltd. 

This is a greenfield project launched on a BOO modality. Power Purchase Agreement (PPA) has been executed between MHPPPL and the power distribution company- Solar Energy Corporation of India Limited (SECI) for the purchase of solar power for a period of 25 years at a tariff of Rs.4.43 per unit.

Total investment stands at of Rs.279.17 crore ($43.3 million) funded through debt of Rs.198.00 crore ($30.7 million) and equity of Rs.81.17 crore ($12.6 million). Hence debt to equity is in 70:30 ratio. Debt financing has a tenor of 17-years 11-months and is provided by L&T Finance. Financial close took place on 17 July 2017.","Electricity generation","Solar","India","34","MW","South Asia"
"148","Parques Eolicos del Caribe","The project entails the design, financing, construction and operation ?? ? 50-MW wind farm located in Villa Vasquez, province of Monecristi. Parques Eolicos del Caribe (Pecasa) will develop the project on behalf of the sole sponsor - Akuo Energy SAS, Paris-based renewable energy company. 

Plant is undertaken on a Build Own and Operate basis (license scheme). Pecasa will sell all its energy output to the government-owned power company, Corporación Dominicana de Empresas Eléctricas Estatales (CDEEE), through a dollar-denominated power purchase agreement for a 20-year term. 

Project has a total project cost of $125 million and is expected to become operational in the first half of 2019. IFC arranged a financing package which includes $18.5 million for IFC’s own account, $18 million from the Dutch Development Bank (FMO), $17 million from the IFC-Canada Climate Change Program (a partnership between the Government of Canada and IFC), $15 from million Proparco, the French development finance institution, and $11.5 million from the German Investment Corporation (DEG). 
Financial close was achieved in December 2017.","Electricity generation","Wind","Dominican Republic","50","MW","Latin America and the Caribbean"
"149","Patni Solar PV based power unit","The project entails the construction, financing and operation of a solar photovoltaic based power unit at Patni in Midnapore district. The project is located in West Bengal. The total capacity of the facility is 10 MW. It is being constructed by Vikram Solar Private Limited. The sponsor is West Bengal State Electricity Distribution Company Limited  and covers the whole cost of the project, equal to $9.00 million. Contract was awarded on May 18, 2017 and works are expected to be completed by December 31, 2017.","Electricity Generation","Solar","India","10","MW","South Asia"
"150","Pirapora Solar Park","Pirapora Solar Holding S.A., a partnership of the Spanish company Solatio Brasil Gestao de Projetos Solares Ltda (80%) and the Canadian company Canadian Solar UK Projects LTD (20%), was granted the authorization to build five solar power plants  located in the state of Minas Gerais, municipality of Pirapora (150 MW in total capacity). The 35-year contracts were signed with the regulatory agency ANEEL starting in March 2016. The following special purpose companies were created to manage the power plants:

Pirapora 5 (30 MW) - Pirapora V Energias Renovaveis S.A.
Pirapora 6 (30 MW) - Pirapora VI Energias Renovaveis S.A.
Pirapora 7 (30 MW) - Pirapora VII Energias Renovaveis S.A.
Pirapora 9 (30 MW) - Pirapora IX Energias Renovaveis S.A.
Pirapora 10 (30 MW) - Pirapora X Energias Renovaveis S.A.


The total investment was estimated at US$ 503.5 million (BRL 1.6 billion).  Financial closure was achieved in May 2017, when the sponsor was granted a US$ 166.5 million (BRL 529.03 million) loan from the Brazilian bank BNDES. Construction works commenced in October 2016 and were expected to be concluded by August 2017.

The government periodically runs public bidding for the sale of energy to the country´s distribution companies. Pirapora Solar Holding won the public bidding that took place in August 2015. The average tariff of the auction was US$ 89.5/MWh (BRL 298.58/MWh). 

In October 2016, Solatio sold 100% of its shares in the project to the French company EDF EN do Brasil Participaçoes Ltda.

The sponsors were granted the right to take part in the government program called Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi). Companies selected to take part in this program were given tax cuts in the acquisition of capital equipment and construction material acquired both in the domestic and international markets (this incentive represented a cost reduction of about 9.25%).  In addition, the company was allowed to use accelerated depreciation methods of accounting for construction expenditures.","Electricity generation","Solar","Brazil","150","MW","Latin America and the Caribbean"
"151","Project for Installation of Geothermal Wellhead Power System ","The project entails the installation a small-scale mobile geothermal power plant in Aluto-Langano, Oromia Regional State, to achieve an early supply of geothermal electricity. It is expected that this will contribute to the expansion and diversification of power sources in Ethiopia. The total capacity of the facility is 5MW. Sponsor is Ethiopian Electric Power. Financing comprises a grant of $16.36 million grant provided by JICA. Financial close took place on December 6, 2017.","Electricity Generation","Geothermal","Ethiopia","5","MW","Sub-Saharan Africa"
"152","Project for installation of wind power generation system in Tonga","The project entails the construction and installation of a wind power generation system in Tonga, namely the following facilities improvements: wind power generation system (1.3 megawatts), grid stabilization system (power storage system), facilities for connecting to transmission lines and distribution lines, and others. The Executing agency is Tonga Power Limited. The government has established the goal of increasing the proportion of renewable energy to 50 percent (27 gigawatt-hours) of the entire electricity supply by 2020. Total project cost is $11.3 million. Sponsor is Government of the Kingdom of Tonga. It is expected that the project will increase the ratio of renewable energy in the composition of the country’s power resources by around six percent, reducing the quantity of diesel fuel used and the amount of greenhouse gas emissions produced. Financial close took place on May 2, 2017.","Electricity Generation","Wind","Tonga","1.3","MW","East Asia and Pacific"
"153","Prosperidade I Thermal Power Plant","The Brazilian company Imetame Energia was granted the authorization to build and operate a natural-gas fueled power plant located in the state of Bahia, municipality of Camacari (28 MW in total capacity). The power plant was named UTE Prosperidade I. A 35-year authorization contract was granted by the regulatory agency ANEEL in April 2016. In July 2017, the authorization was transferred to Imetame Termeletrica Ltda.

The investment committed to the power plant was estimated at US$ 29.4 million (BRL 93.306 million). Financial closure was achieved in early 2017, when the sponsor was granted a loan from the German bank LBBW and the Finnish development bank Finnvera. The amount of the loan was not disclosed. Construction works commenced in January 2017 and were in its final stages as of June 2017.

The construction works at the UTE Prosperidade I commenced in March 2017, and operations were expected to begin in early 2018.
 
The government periodically runs public bidding for the sale of energy to the country´s distribution companies. UTE Prosperidade I won the public bidding that took place in August 2015 by offering an average tariff of US$ 64.2/MWh (BRL 214.25/MWh). The project company signed 20-year power purchase agreements with the several electricity distribution companies.","Electricity generation","Natural Gas","Brazil","20","MW","Latin America and the Caribbean"
"154","Puyang Solid Waste Incineration Power Plant","On August 27, 2017, construction of a solid waste incineration power plant commenced in Puyang City, Henan Province. The sponsor of this Build Operate Transfer project was a local private company Beijing Geoenviron Engineering & Technology, Inc. The total investment was US$ 108.03 million (RMB 730 million). Geoenviron had a 100% stake in the project. The power plant had a power generation capacity of 28MW. It could process 1500 tons of solid waste per day. Other particulars of the project were not reported.","Electricity generation","Waste","China","37.6","MW","East Asia and Pacific"
"155","Ra Solar Plant","The project envisages the construction, development and operation of a solar plant with a capacity of 25 MW. It is located in Benban, city of Aswan. Voltalia is the sole owner and developer of the project.

This is a greenfield project initiated on a BOO modality. 

The project is being developed within the country's feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the projects under 25-year power purchase agreements. 
Total investment cost of the project was estimated at $33.3 million and is being funded through debt and equity in 75:25 ratio. Proparco (Agence Francaise de Developpement) has provided $24.9 million in debt financing, with the remaining ($8.4 million) being provided by the sponsor in equity contribution. Financing closed on October 19, 2017.","Electricity generation","Solar","Egypt, Arab Rep.","10","MW","Middle East and North Africa"
"156","Ras Ghareb Wind Farm","The project scope consists of the development and operation of a 250-MW wind farm (Ras Ghareb Wind Farm) located in Rhas Gharib, Gulf of Suez, north of the Red Sea. The venture will be developed through a special purpose vehicle  - Ras Ghareb Wind Energy. The SPV is owned by a consortium comprising Engie/SUEZ (40%), Toyota/Eurus Energy (40%) and Orascom (20%). Gulf of SUEZ is the first wind farm tendered on a BOO scheme and is part of the Egyptian government’s drive to increase the share of renewables in the energy mix with a target wind generation capacity of 7 GW by 2022. 

As Independent Power Producer, the plant's energy will be sold under a 20-year Power Purchase Agreement (PPA) to the Egyptian Electricity Transmission Company (EETC). The criteria for selecting a particular developer is the lowest cost per MWh. Egypt’s Ministry of Finance will guarantee offtake payments.  The project will be executed on a build-own-operate (BOO) basis. 

The total investment cost amounts to approximately  $400 million. The sponsors closed on $320 million in debt financing and $80 million in equity bridge loans (EBLs). Each sponsor has a two-year EBL for their full equity share: Société Générale is providing Engie’s EBL , Mizuho Toyota’s EBL and Attijariwafa Orascom's EBL. Japan’s NEXI is providing a guarantee covering the commercial lenders: SMBC and Société Générale which are lending $128 million, split equally. Japanese JBIC is providing a further $192 million in a separate tranche. The debt will have a tenor of 18-years door-to-door, allowing two years for construction. Construction will take 24 months.

Financial closure occurred on December 14, 2017.","Electricity generation","Wind","Egypt, Arab Rep.","250","MW","Middle East and North Africa"
"157","Regional Rusumo Hydroelectric Project","The project entails the construction, finance and operation of a new Regional Rusumo hydroelectric project. It has a total capacity of 80 MW. The Rusumo hydropower project is located at  the common border of the Republic of Rwanda and United Republic of Tanzania. The power house of the plant will include three vertical axis Kaplan turbines and three 30MW generators with 12kV output voltage. It will be located on the southern side of the Kagera River bank in Tanzania. The plant will include a 260m-long diversion canal with a width of 17m and a 250m-long tailrace canal with a width of 40m. The sponsors are Rusumo Power Company Ltd (Governments of Tanzania, Rwanda and Burundi). The total cost of a project is $461 million. The hydropower project will supply electricity to the three countries and aid in the development of the region. The construction start was on March 30, 2017. 
","Electricity Generation","Hydro","Tanzania","80","MW","Sub-Saharan Africa"
"158","Renova Rosnano Altai Portfolio 64 MW","Solar plants are being built in Altai as part of an investment program of the Sponsors to build 900 MW solar power plants in Russia.  The portfolio consists of 7 plants with total generation capacity of 64 MW. Isyangulovskaya Solar Power Plant LLC, Orlovgayskaya Solar Power Plant LLC, Matraevskaya Solar Power Plant LLC, Altayskaya Solar Power Plant LLC are the SPVs which are undertaking the construction and operation of the plants on behalf of the sponsors Renova (51%) and Rosnano (49%).

Solar power plants are the final borrowers in the transaction and each of them benefit from Power Supply Contracts to provide power under fixed capacity payments during 15 years.

Total investment cost is $127.3 million and is being funded through debt and equity in 72:28 ratio. Project financing is provided solely by Gazprombank in the amount of $91.9 million. The sponsors will contribute equity on a pro rata basis. Total equity contribution stands at $ 35.4 million.

Financial closure occurred on 27 December 2017.","Electricity generation","Solar","Russian Federation","64","MW","Europe and Central Asia"
"159","Rewa Actis Solar Park","The project entails the design, financing, construction and operation of a 250 MW solar park in Rewa District, Madhya Pradesh. This project is part of a larger 750 MW project in Rewa district - Rewa Ultra Mega Solar Park. Three 250 MW projects were awarded to Mahindra Renewables Pvt. Ltd, Acme Solar Holdings Pvt. Ltd and Actis LLP’s Solenergi Power Pvt. Ltd. The bids were called by Rewa Ultra Mega Power Ltd, a joint venture of Solar Energy Corp. of India Ltd (SECI) and Madhya Pradesh Urja Vikas Nigam Ltd (MPUVNL).

This particular project (unit III) will be developed by Arinsun Clean Energy Pvt. Ltd, a subsidiary of Solenergi Power Private Ltd. (green energy investment platform of Actis LLP). Private equity fund Actis LLP is the sole sponsor of the 250 MW project. 
Concession contract was awarded to developer following a competitive bidding process called by SECI and MPUVNL in February 2017. The bid criteria for securing the contract was the lowest effective levelized tariff (the average of different annual tariffs over the 25-year period of the power purchase agreement). Project is undertaken on a Build Own and operate basis. Actis won the bid by quoting a first-year tariff of Rs.2.974 (~$0.0444)/kWh and a levelized tariff of Rs.3.304 (~$0.0495)/kWh.

The estimated project cost is around $200 million (Rs12.8 billion). IFC has inked the deal with Actis for $140 million of debt financing. To the best of our knowledge, IFC provided $50 million of A loan (from its own account) and syndicated the remaining $90 million to other lenders. As of January 2018, the lenders are not disclosed. Sponsor's contribution to the project amounts to $50 million. Financial close was achieved in December, 30 2017.

The project is expected to be complete by December 2018.","Electricity generation","Solar","India","250","MW","South Asia"
"160","Reynosa Wind Farm","The Reynosa wind farm is located in the northeastern state of Tamaulipas and will have total capacity of 424 MW. It will supply enough electricity to the Mexican national grid to power about 1 million homes and mitigate 739,000 tonnes of carbon dioxide emissions annually.
Project is being developed by Zuma Energia which is 80% owned by Actis and 20% by Mesoamerica Investments. 

Zuma won the contract for the Reynosa farm in Mexico’s second renewable energy auction in 2016. Parque Eólico Reynosa III, S.A.P.I de C.V. is the project company that will lead the project on behalf of the sponsor. 

The wind farm will require an estimated investment of $740.1 million. In addition to the $615.1 million in project finance raised largely from Mexican development banks - Banobras, Banco Nacional de Comercio Exterior (Bancomext) and Nacional Financiera (Nafin), as well as Santander,  Actis and Mesoamerica have put in $125 million in equity. Financial closure was reached in August 2017.

Reynosa plant will be up and running by the end of 2018.","Electricity generation","Wind","Mexico","424","MW","Latin America and the Caribbean"
"161","Rio Grande do Norte Wind Portfolio","The project involves the design, financing, construction and operation of four wind power plants with a total capacity of 129 MW. The wind farms are Vila Para I, II, III with a total capacity of 99 MW and the 30 MW Vila Amazonas V.  For each of the facilities, special purpose vehicle was established - Usina de Energia Eólica Vila Pará I, Usina de Energia Eólica Vila Pará II, Usina de Energia Eólica Vila Pará III and Usina de Energia Eólica Vila Amazonas V. Voltalia is the sole owner and developer of the portfolio.

Dias Carneiro Advogados provided legal counsel to the sponsor.

According to Brazil's renewable energy generation regulation from 2004, Brazilian Electricity Regulatory Agency (Aneel) awards PPAs to renewable energy producers through public auctions based on lowest tariff per unit of energy. The duration of the contract is for 20 years. 

The portfolio is financed through project finance provided by BNDES in cooperation with Banco Bradesco, BNP Paribas, Banco Santander. Total amount of debt funding is BRL 296 million ($96 million) and has a tenor of 16 years. Voltalia will provide roughly the same amount in equity contribution (BRL300 million or $97.2 million). The financing closed on February 15, 2017.","Electricity generation","Wind","Brazil","129","MW","Latin America and the Caribbean"
"162","Risha Solar Plant","The project consists of the development and operation of a 50 MWac (61.3 MWp) solar PV plant in Risha region, Mafraq Governorate. Risha For Solar Power Projects is the project company developing the plant and will ultimately be wholly owned by International Company for Water and Power Projects (""ACWA Power""). The plant has the capacity to power 12,000 households every year.  This project will also result in 1.5 million Tons of CO2 saved over 20 years, equivalent to 79,000 tons of CO2 per year.

The financing comprises senior loans of $22 million from the European Bank for Reconstruction and Development (EBRD) and $16 million each from Deutsche Investitions- Und Entwicklungsgesellschaft Mbh (DEG) and Arab Bank to Risha for Solar Power Projects PSC. The Power Purchase Agreement (“PPA”) and the Transmission Connection Agreement (“TCA”) for the project were signed with NEPCO while the Government Guarantee Agreement (“GGA”) was signed with the Ministry of Finance, simultaneously in March 2017. The project will deliver the lowest tariff (0.042 JD/kWh equal to 5.92 USD cents/kWh) across all renewable energy projects in Jordan including the Round I and II of the Photovoltaic Procurement program of the Ministry of Energy and Mineral Resources.

Financing closed on December 20, 2017 in the amount of $54 million of debt and $15 million in equity contribution.","Electricity generation","Solar","Jordan","50","MW","Middle East and North Africa"
